model,dataset,target,method,n,n_pos,pos_rate,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,prr,prr_ci_low,prr_ci_high
qwen,hallusionbench,hallucination,semantic_entropy,1099,514,0.467697907188353,0.6393661245801323,0.6015833879250359,0.6801175056606918,0.5571543870547522,0.5088246531429879,0.6094750855231559,0.30585674219568915,0.22469657643770619,0.3883084870611293
qwen,hallusionbench,hallucination,umpire,1099,514,0.467697907188353,0.6133692507233364,0.5686798677385433,0.6576111140710424,0.5321449103313953,0.4839327209639179,0.5872455235908834,0.2950267428855017,0.18025731811286794,0.4101364701216857
qwen,hallusionbench,hallucination_given_error,perplexity,373,322,0.8632707774798928,0.4156010230179028,0.3218498967717718,0.514179104854591,0.8261408517599045,0.7674574289961904,0.8873646809564784,-0.0709951593677836,-0.21276524100904629,0.08293498056907078
qwen,hallusionbench,hallucination_given_error,semantic_entropy,373,322,0.8632707774798928,0.39648033126293997,0.28972566960024837,0.49540443755057995,0.8222235230132786,0.756105316820373,0.8867306930003303,-0.1205949773215146,-0.24610340738651754,-0.00822273182589031
qwen,hallusionbench,hallucination_given_error,umpire,373,322,0.8632707774798928,0.4404457435147972,0.354891957737506,0.5257357013314459,0.83571639401901,0.7733450655714722,0.8963606171917563,-0.09914721254432023,-0.19737756797836833,0.010072574597169313
qwen,mmvet,error,perplexity,218,96,0.44036697247706424,0.7171277322404371,0.6497868393960192,0.7847814796650368,0.6718679474457685,0.5734614562218068,0.7690115268938804,0.5036956701747007,0.353078176835179,0.6415511867245138
qwen,mmvet,error,semantic_entropy,218,96,0.44036697247706424,0.8157445355191257,0.759107951925805,0.8696442092521102,0.743411828187154,0.6473681859677192,0.8365341094192584,0.7098327857365415,0.598377859078719,0.8136254314534717
qwen,mmvet,error,umpire,218,96,0.44036697247706424,0.7690403005464481,0.703892422707623,0.83059558056646,0.6978437358129929,0.5932311914706031,0.798570186107914,0.6022059331236633,0.44749290824372523,0.7374263074521641
qwen,mmvet,hallucination,perplexity,218,65,0.2981651376146789,0.5359979889391654,0.4547722533359799,0.6214429051121568,0.32102520074470187,0.2444118479742433,0.4207255091206513,0.07224016677665687,-0.1782644897229013,0.29646662674370783
qwen,mmvet,hallucination,semantic_entropy,218,65,0.2981651376146789,0.659175465057818,0.5667055818327731,0.739686157254243,0.4514596944403335,0.3419740055464699,0.5768683234035792,0.3232178318934457,0.0888517085288076,0.535207322748806
qwen,mmvet,hallucination,umpire,218,65,0.2981651376146789,0.5763700351935646,0.489215817778489,0.6637426898088212,0.368604414323759,0.2813141200657224,0.4877658381600319,0.18275567692531208,-0.08117567725090567,0.4167691740689209
qwen,mmvet,hallucination_given_error,perplexity,96,52,0.5416666666666666,0.3881118881118881,0.27359992287669915,0.49781497035573125,0.4672563472611276,0.3614289227588406,0.6059086685311237,-0.23637481106075825,-0.5325844175427488,0.01684107478172759
qwen,mmvet,hallucination_given_error,semantic_entropy,96,52,0.5416666666666666,0.5397727272727273,0.41461575771789183,0.6494912573044428,0.5887136236746346,0.46673973193543183,0.7278973434315373,-0.02179143212727602,-0.2829778226128316,0.2512905493317636
qwen,mmvet,hallucination_given_error,umpire,96,52,0.5416666666666666,0.39903846153846156,0.28214070917739265,0.5141337386018237,0.5052347152867619,0.3875659573910837,0.6472821275877904,-0.23166310734375212,-0.5063190650921879,0.03789826213004749
internvl,vilp,error,perplexity,900,344,0.38222222222222224,0.6220302827505437,0.5914878389154485,0.6572323098633497,0.4964277372137125,0.44928950398851,0.55185888505455,0.29823158362137864,0.2092089874772769,0.38981000388316983
internvl,vilp,error,semantic_entropy,900,344,0.38222222222222224,0.7189382215158107,0.686334641162096,0.7520864415794295,0.5814789614091227,0.5328015604542502,0.6323387959948623,0.5094403143051528,0.43408320538034234,0.5822310399431933
internvl,vilp,error,umpire,900,344,0.38222222222222224,0.6401936590262673,0.6081286721847946,0.6752484986537215,0.4768210330971843,0.4388878712492453,0.5276928402339851,0.35727243452604074,0.2530150141482417,0.4482830281603519
internvl,vilp,hallucination,perplexity,900,229,0.2544444444444444,0.532568870030392,0.4924129499656913,0.5750200235049269,0.2783723263889995,0.23611302629340156,0.33113281815310946,0.11418367175141389,-0.010075289963031753,0.22914422387524228
internvl,vilp,hallucination,semantic_entropy,900,229,0.2544444444444444,0.6567659557852127,0.6170276802172714,0.6959414306823231,0.38509158778193403,0.32705502671583814,0.4500839037141404,0.3900419980708429,0.28750657848432465,0.47813660265720936
internvl,vilp,hallucination,umpire,900,229,0.2544444444444444,0.5633122693756956,0.5247994679380193,0.6029649329819133,0.2794781924959251,0.2417369556437343,0.32301328969819876,0.2238511217992096,0.10728389365405593,0.3380168045066341
internvl,vilp,hallucination_given_error,perplexity,344,188,0.5465116279069767,0.4186272504091653,0.36152717865496714,0.4820384423894434,0.4913928363253558,0.4317674689780659,0.5679983759683074,-0.16671885169281533,-0.29576366044467056,-0.028587043906499437
