model,dataset,method,target,score_direction,n,positive_n,positive_rate,auroc,auroc_ci_low,auroc_ci_high,bootstrap_undefined,auprc,auprc_random_baseline,prr,rank_biserial,tail_n,bottom20_rate,top20_rate,top20_lift_vs_prevalence,top_vs_bottom_risk_ratio,top_minus_bottom
llava,hallusionbench,perplexity,hallucination_given_error,risk=UQ,561,506,0.9019607843137255,0.4471074380165289,0.33843360490265306,0.5521167115255083,0,0.881818934233799,0.9019607843137255,-0.025246335681441696,-0.10578512396694217,113,0.9203539823008849,0.8584070796460177,0.9517121969988457,0.9326923076923077,-0.06194690265486724
llava,hallusionbench,semantic_entropy,error,risk=UQ,1109,561,0.5058611361587015,0.5068568900685689,0.4700722493870278,0.5398310011981406,0,0.5170427660364837,0.5058611361587015,0.019636720521445567,0.013713780137137865,222,0.49099099099099097,0.49099099099099097,0.9706042941337059,1.0,0.0
llava,hallusionbench,semantic_entropy,correct,confidence=-UQ,1109,548,0.49413886384129846,0.5068568900685689,0.4740532959701483,0.5405225026149951,0,0.5013203694699534,0.49413886384129846,0.026191557727425874,0.013713780137137865,222,0.509009009009009,0.49099099099099097,0.993629578483593,0.9646017699115044,-0.018018018018018056
llava,hallusionbench,semantic_entropy,hallucination,risk=UQ,1109,801,0.7222723174030659,0.5830799974058402,0.5460269958676429,0.6165406786681249,0,0.7676294963295343,0.7222723174030659,0.14690738213393037,0.1661599948116803,222,0.6216216216216216,0.7792792792792793,1.0789272418485902,1.2536231884057971,0.1576576576576577
llava,hallusionbench,semantic_entropy,hallucination_given_error,risk=UQ,561,506,0.9019607843137255,0.6113546532518864,0.5265317580973266,0.6794064734633691,0,0.9272123303333092,0.9019607843137255,0.12654759005027438,0.22270930650377285,113,0.831858407079646,0.9469026548672567,1.049826856483263,1.1382978723404256,0.11504424778761069
llava,hallusionbench,umpire,error,risk=UQ,1109,561,0.5058611361587015,0.5319554497313193,0.49809913208435863,0.5674060449674732,0,0.5297948657490527,0.5058611361587015,0.11854643862265424,0.0639108994626385,222,0.4369369369369369,0.5315315315315315,1.0507459330988742,1.2164948453608249,0.09459459459459463
llava,hallusionbench,umpire,correct,confidence=-UQ,1109,548,0.49413886384129846,0.5319554497313193,0.49724336992974805,0.560186280738726,0,0.5419754365655696,0.49413886384129846,0.061921632084737374,0.0639108994626385,222,0.46846846846846846,0.5630630630630631,1.1394834615637537,1.201923076923077,0.09459459459459463
llava,hallusionbench,umpire,hallucination,risk=UQ,1109,801,0.7222723174030659,0.6058944176921705,0.5648228046111597,0.6444808392588923,0,0.7823910099809747,0.7222723174030659,0.21315852554767023,0.2117888353843409,222,0.5900900900900901,0.8018018018018018,1.11011011011011,1.3587786259541985,0.21171171171171177
llava,hallusionbench,umpire,hallucination_given_error,risk=UQ,561,506,0.9019607843137255,0.527596119295724,0.44289081799837254,0.6144303169730805,0,0.9151090166028444,0.9019607843137255,0.021462395473266758,0.05519223859144806,113,0.9026548672566371,0.911504424778761,1.010580992689496,1.0098039215686274,0.008849557522123908
llava,mmvet,perplexity,error,risk=UQ,217,168,0.7741935483870968,0.7859572400388727,0.7122229473038145,0.8550359986895155,0,0.906910296177313,0.7741935483870968,0.5536305440456761,0.5719144800777454,44,0.4318181818181818,0.9318181818181818,1.2035984848484849,2.1578947368421053,0.49999999999999994
llava,mmvet,perplexity,correct,confidence=-UQ,217,49,0.22580645161290322,0.7859572400388727,0.7133690165680908,0.849199743824453,0,0.5526745758419047,0.22580645161290322,0.6085994026242907,0.5719144800777454,44,0.06818181818181818,0.5681818181818182,2.5162337662337664,8.333333333333334,0.5
llava,mmvet,perplexity,hallucination,risk=UQ,217,145,0.6682027649769585,0.5486590038314176,0.46473555118574095,0.6386027893300177,0,0.6742274041807569,0.6682027649769585,0.19261867314320746,0.09731800766283527,44,0.5,0.6136363636363636,0.9183385579937304,1.2272727272727273,0.11363636363636365
llava,mmvet,perplexity,hallucination_given_error,risk=UQ,168,130,0.7738095238095238,0.3668016194331984,0.2604069541569542,0.4622386370518411,0,0.7000364740746241,0.7738095238095238,-0.15917681614012566,-0.2663967611336032,34,0.8529411764705882,0.6176470588235294,0.7981900452488688,0.7241379310344828,-0.23529411764705876
llava,mmvet,semantic_entropy,error,risk=UQ,217,168,0.7741935483870968,0.7423469387755102,0.6556592842836366,0.8325981723421843,0,0.8761275927404096,0.7741935483870968,0.5172861340292441,0.48469387755102034,44,0.38636363636363635,0.8863636363636364,1.1448863636363638,2.2941176470588234,0.5
llava,mmvet,semantic_entropy,correct,confidence=-UQ,217,49,0.22580645161290322,0.7423469387755102,0.6505247597930525,0.8317979668734252,0,0.5282430042846696,0.22580645161290322,0.4772905475889944,0.48469387755102034,44,0.11363636363636363,0.6136363636363636,2.7175324675324677,5.4,0.5
llava,mmvet,semantic_entropy,hallucination,risk=UQ,217,145,0.6682027649769585,0.6911877394636016,0.6164021441791052,0.7620678961690441,0,0.7894460250544959,0.6682027649769585,0.3620122220415234,0.38237547892720314,44,0.4090909090909091,0.8636363636363636,1.2924764890282132,2.111111111111111,0.45454545454545453
llava,mmvet,semantic_entropy,hallucination_given_error,risk=UQ,168,130,0.7738095238095238,0.6062753036437247,0.504137800102474,0.700310408716332,0,0.837821586325202,0.7738095238095238,0.11449119924901088,0.21255060728744946,34,0.7352941176470589,0.9411764705882353,1.216289592760181,1.2799999999999998,0.2058823529411764
llava,mmvet,umpire,error,risk=UQ,217,168,0.7741935483870968,0.8355199222546161,0.7591212230364155,0.9099495455760491,0,0.920025490760358,0.7741935483870968,0.7114490550693744,0.6710398445092323,44,0.29545454545454547,0.9318181818181818,1.2035984848484849,3.1538461538461533,0.6363636363636362
llava,mmvet,umpire,correct,confidence=-UQ,217,49,0.22580645161290322,0.8355199222546161,0.7560744541111875,0.8999582390965692,0,0.7080208771730315,0.22580645161290322,0.66236854721051,0.6710398445092323,44,0.06818181818181818,0.7045454545454546,3.1201298701298703,10.333333333333334,0.6363636363636365
llava,mmvet,umpire,hallucination,risk=UQ,217,145,0.6682027649769585,0.6518199233716475,0.558840891036013,0.7446122226319994,0,0.7455807909531731,0.6682027649769585,0.36168971119557153,0.303639846743295,44,0.3409090909090909,0.7272727272727273,1.0884012539184953,2.1333333333333337,0.3863636363636364
llava,mmvet,umpire,hallucination_given_error,risk=UQ,168,130,0.7738095238095238,0.5008097165991903,0.39292270531400963,0.6116627549922744,0,0.7809234119053658,0.7738095238095238,0.013696535853175578,0.0016194331983805377,34,0.7647058823529411,0.7352941176470589,0.9502262443438915,0.9615384615384617,-0.02941176470588225
